,answer,question_text,text_id,grade,score
27,Jessie because she would understand all of my frutrastoin  with my brother and help with probelems .,Do you think the main character or person would like you to be his or her friend? Why?,BASEdRowu6sYSSjXYTix_fCcfg,4,8
28,when they saved all the chickens,What part of the text made you the happiest? Why do you think you were so happy at this moment?,AUTbL3G28RsrAtwiyWOc2eKyw,4,7
29,"An Official Mojang Book Hardcover  November 26, 2013. ... The long-awited, first OFFICIAL guide to the online gaming sensation, Minecraft! ... Minecraft: Essential Handbook (Updated Edition): An Official Mojang Book Hardcover.",What was your opinion of this topic before you read this text? How did this text change your opinion?,BASEvo-Y6oP4mlZ-d6ID-xbecg,6,0
30,I thought it was fascinating when he pushed the boy into the pool this showed me that the boy is a brat and that the other guy was trying to be respectful to his friends and keep him safe,Analyze a piece of dialogue that you found interesting. What does this dialogue tell you about the personalities of the characters or people speaking? Support your thoughts.,BASEO73oCJaVUOjmWB24L0isCw,6,8
31,it`s drama because there is a evil person in the story.Another reason it is drama is because when they only get three wishes each day.That is why it is drama.,"Is this text a drama, poem, biography, historical writting, or something else? How do you know?",AUToHuz362h0RJY-hPa7O6MDw,3,10
32,Violet was the happiest was when Klaus stopped Charles  from  getting killed by Count Olaf. Also when Sir realized that Shirley is Count Olaf  and  Dr. Orweel and Foreman Falcutono  are his assistants .  I think that she was happy about this because Charles was there friend and he helped them with their at Lumber. This affected her because he was the only one that helped her and her siblings at the lumber. Also She was Happy that they caught Count Olaf because he is her enemy and she has always wanted to trap him and send him to jail. This affected her because all she wants to be is safe.,Think about the moment when the main character or person was happiest. Draw some conclusions about what made them so happy and why it affected them that way.,BASErIMRiRZ83CsrkhXjLeW2pA,6,10
33,My favorite character because he knows how to play a piano with using his feet instead of his hands.,"Who is your favorite character or person, and why?",BASE4ze1xFjNou4RATh8UBXEJw,2,9
34,Yes. Because she is brave and kind like me. Even though she comes from a differ family and a different childhood I think we are a lot alike.,Do you think the main character or person would enjoy a friendship with you? Why or why not?,BASEL6C7dUL4M1pSe-Y1KcQjGQ,6,7
35,"i thought that one day Francie's father was definitely going to come back for the family but in conclusion he didn't, Francie's mother had money that she'd been saving up for the longest then she eventually had enough to get tickets for her, Francie, and Prez as well. She had told the kids to pack everything possible so that they could head right over to Chicago where their father was. Which excited both Francie, and Prez.",What was your opinion of this topic before you read this text? How did this text change your opinion?,AUTiIL-0sIawN6V5WKWRyjFYQ,7,8
36,My favorite part of the book is when bubbles the bear and Oggie get stuck in the bath room and when you see who bubbles the bear really is and when bubbles the bear and Oggie get out of the bathroom.,What is your favorite part of this book? Why?,BASEK9IfDh2rzfM-MYj_uCA1aQ,2,9
37,"In the Beginning of Football Hero by Tim Green Ty Lewis is a dwarf like scrawny boy who lives with his aunt, cousin and his grouchy uncle. He has proven to his coach that he is the NFL's future Jerry Rice but can't seem to gather up enough confidence to ask is uncle if he can play. This proves he's a supremely anxious and nervous boy. So to settle the stakes he secretly practices football saying he's getting extra assistance for school and as time advances his older brother Thane ""Tiger"" Lewis  a NFL G.O.A.T Rookie comes to town to visit his little brother. After a while of bonding Ty and Thane are confronted by F.B.I agents who advise them that Ty is giving illegal information to his uncle about Thane and his buddy's condition for Fantasy Football so after Uncle Gus is interviewed custody of  Ty is given to Thane and they live happily ever after","Think about how the main character or person has changed during the course of the text. Perhaps they became more confident or more angry, for example. Describe these changes. Why do you think they changed in this way?",BASEGdYDGjUREBhmrpZHQ-5Zjg,6,5
38,Buzz and fly guy where visiting a castle whoa ! send Buzz this place is amazing Fly Guy Wonder what it was like to live in a castle they headed inside to find out design to keep those inside safe they have a defense like drawbridges,Which picture did you not like in this book? Why?,BASEPrEKg8xmHrdmdiHhdc54Yg,2,5
39,"Velociraptors are not scary I think  the author would disagree because in the book  states ""Velociraptors travle  in packs"".The text also states ""Velociraptors have mouths full of sharp teeth.",What is something you think the author of this text would strongly disagree with? What evidence do you have from this text that makes you think they would disagree?,BASEm_t688FhKPZNNSYin9XxFg,5,9
40,Highly tryyygghjbuhgyhjhjgygyhigutfukgigjil.gnhirhyyu yggtftvtg,What happened in the beginning of this book?,BASE2wGhrsiMZ3ILyACMRceUSg,1,0
41,Bad,Put yourself in the shoes of one of the main characters right now. Describe two emotions you feel. Use text evidence to explain why do you feel this way?,AUTUyVQ4jXmlM2NX_iSk43Sjg,2,0
42,When they went fishing becaus i love fishing,What part of the text made you the happiest? Why do you think you were so happy at this moment?,AUTd7WiDDHIQwihkqFbpUrLdQ,4,8
43,I know Auroras parent would not agree with her. Mostly because she is writing about them.,Which character do you think would disagree with the narrator of this story? Why would they disagree?,BASE7lRPcbx4bd8NLhyXuImKuw,5,8
44,My favorite character is Marvin because he rice and because he is so funny and he fast.,Choose your favorite character or person from the text and list three reasons why he or she is your favorite.,BASEjq-zcc4SLLv-ReCP_VEsWA,1,9
45,i think it makes you a better so you whats in the story and you now more knowledge about the book and you now whats in the                         story,Do you think reading this text has made you a better person or a worse person? Why?,BASE8Bc7pnCbilQmCsgDkKMW_w,3,6
46,That Fred was big a ted was little They had to  switch beds cause Fred was in the small bed and ted was in the gaint bed.Fred and ted are best friends. The yellow bird told them to switch beds,What do you remember best from the book?,BASEAM1_r5k4MpfL2PfLuQxruQ,2,9
47,i help my dad buy stuff,What do you remember best from the book?,BASEmMxLI6O1SAcuzmOZNCx3qg,1,3
48,"One word or phrase that was repeated constantly for the page  was faster. Why faster was getting repeated was because in my chapter there zombies chasing after Benny Imura and Tom Imura. They were running really rapidly while the zombies were following them. The dead were following them and catching up faster, and faster, and faster.","When was a word or phrase repeated for emphasis? What was so special about the word or phrase that called for it to be repeated? If there is no repeated word or phrase, find one that you think should have been repeated and explain your reasoning.",AUTBxfJtiyxKCkBcBPwkOfZAg,6,10
49,One time a character was learning from another was when jack solved a problem and every one learned some thing from him,Describe a relationship in this text where one character or person was learning from another.,BASEyzaZ90die7tiiYtQ7aPJWQ,5,7
50,One of the parts that bored me was listening to Cyn go on and on about how picking blueberries wasn't good for the environment. I couldn't put the book down when it told the reader Josh got sick and the doctor couldn't identify what he had.,"Describe one part of this text that totally bored you, and another part that you could not stop reading. Include your reasons why for both.",BASEtdJ_Lg96DpjMNuO4sKMjRQ,6,6
51,"When Ian Rider died, Alex got suspicious and followed tracks to the junkyard and found his uncle car, and found out that there was no crash, it was bullet holes.  That was when Alex found MI6, and got caught up in all of the business when he started training with the SAS.  That is why when Ian Rider died was such a huge impact on Alex's life",Every action or event in a story affects what happens next. Describe one key event that had a large impact on the plot. What happened because of this event? How did this event affect the main characters?,BASEj1AuIWRULyPjppLQ-oYKhA,5,10
52,"If I had to come up with a new name for this book I would name it Greg's Life or Greg's World.I would name it Greg's Life or Greg's World because every Diary of a Wimpy Kid book is all about Greg, and the world is in Greg's perspective.Every adventure in the books are about Greg and rarely any other character in the book.",Come up with a new name for this book.,AUTLJmysL0LqjpFZaCJltyfvQ,0,10
53,the cows probably did not no the ducks would cope it for themselves,Do you think the cows knew that the ducks would keep the typewriter after Farmer Brown gave them the electric blankets? Why do you think so?,BASEasfHPZhAW77njjMyzqLqOw,1,7
54,I did not respected when Sylvester when his coach did not let him be on the team  because he was not good Sylvester  his coach was in the same place he was then Sylvester  showed his coach his batting skills.,What do you not respect about the main character or person?,BASEtQ-gjr9DDAb-ebPQGhCNaw,3,9
55,"the main character was sheila rae  she was brave she rides bikes 
with her eyes closed and step on ever crack and  cross street she 
is the brave one.",What was the main character like at the beginning of the book? How about at the end of the book?  What caused this person to change between the beginning and the end of the book?,BASEKD6ly_VA0Em9qRtEgBpkhg,2,6
56,The most challenging word in the word is all these  guys name and other things. Because most of the time in Naruto story a lot of the bad guys name is like confused me alot,"What is a challenging word that the author uses multiple times? What is the meaning of this word, and why do you think the author uses this word so many times?",BASE0wODYbI4pCwZQl8hl7eEsA,5,7
57,if i would draw it buy use English people and and draw her and i would draw America and draw houses to show the Indian people house and  the grass and the water and the boat,Describe a picture you could draw to show what happened at the beginning of the text. Why would you draw that picture?,AUT2x1fXkmos0N5qTZrXwQm3g,2,7
58,talking toilets want to take over the wold. captain underpants wants to stop the evel talking toilets from taking over the world.,What does the main character or person really care about?,BASEPpuyAHksZEyo_oSoUkfA6w,3,8
59,"Most recent chapter: Possibilities. It is about how Ally s looking at situations in a different way. She is seeing the possibilities and not the things which she cannot do, yet. I enjoyed the chapter because it helped me observe things in a different perspective, as well.","Choose either the title of the most recent chapter you read, or the title of your text. Explain the deeper meaning of the title.",BASEEW8QdfAT5nMzUOw4HZL6QA,7,8
60,"There was not a part of this story that bored me. However, one part that was interesting to me was the part when the caldera exploded. The was so much tension in the air and u could feel that something bad was going to happen. The most intense part was when the Heron was riding the humongous wave that had caused the Vulture to drown. John Flanagan made that part of the story really intense and I could not put the book down to take a break.","Describe one part of this text that totally bored you, and another part that you could not stop reading. Include your reasons why for both.",BASEtYhDnSt1takTnuE5j07gWA,7,9
61,when Riana was so humiliated because her friends pulled down her skirt in front of ever one in the school.,What was your favorite part of this book?,BASEr8RsRcGJ6Cxp6TcDFqVd2w,-1,8
62,"In the book Love Ish it says, ""There is no room for sentimental stuff on a spaceship."" One definition of this is that the spaceship literally does not have enough space for photo albums and objects that are very precious to you. However,  this could also state that on a spaceship, you can't reveal your emotions, or speak about your Earth life when you can only focus on keeping yourself and your comrades alive and completing your mission.","Find a line in this text that could be rewritten as a metaphor or an expression. First quote the phrase, then write the expression or metaphor that could be used instead.",AUTtP_wOan9ZeAg9YKyjPSvuA,6,10
63,"The word I found is watch. This word can be used as in watching something, or as something you wear on your wrist. In this text, the main character fixed a broken watch.","Find a word in the text that can have different meanings at different times. For example the word 'free' can mean that something costs no money or it can mean that someone can do whatever they want. Type the word you found, and then explain what it means in the text.",AUTmx414SHt_tFBvGbPRUMC9Q,7,8
64,"Anne gets into a little bit of a ""beef"" with Gilbert Blythe, a boy from school, and he calls her mean name, carrots, and so she breaks a slate over his and gets punished for it at home and school. Later on in the book, Anne and her friends are playing, and she is floating down the river in a boat , but the boat sinks. So along comes Gilbert in a boat and offers to help and save her bu she refuses out of pure stubbornness. But eventually she lets him take her to shore and she doesn't completely hate him.","Describe one of the main ideas or themes in this text, including how the author discusses this idea. Cite evidence from the text.",MANUbz-YIbY6wI2W6XoJWtDB7Q,7,5
65,doyle was very happy when he won the game because then they were going to the finals.,Think about the moment when the main character or person was happiest. Draw some conclusions about what made them so happy and why it affected them that way.,AUTjt33xH4K-Jg9GUhRUZs3EA,6,6
66,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,What was this book about and how did it end?,BASEqTD6U6XlH1TnbbJFqWwy-Q,1,0
67,the one that bored me was when it talked about the grandfather in the kitchen and u could npt stop reading abput when is talks aboitu there breakfast there eating. it was so funny that i even showed all of m friends and i told them all to read the book cuz i loved it si i know that my besties will cuz they are werid just like me they are just gonna love it,"Describe one part of this text that totally bored you, and another part that you could not stop reading. Include your reasons why for both.",BASE5KKyrqBd_OhoKHTZlgsJgg,5,6
68,It focused on the sea and they were underwater in this mini sumerine and they were trying to solve this riddle  and then the machine broke and they had to do breast stoke while there was a shark chasing them and then they solved the riddle and it was an oyster,"If you have read other texts about this topic, what does this book focus on that the other texts did not?",BASE3hQoL1QgBS-ZEKC_U1LlUg,4,6
69,The title of the text is Russian Roulette and it means that Yassen had to play a game and if he was shot he would die and if not he will live. I think a deeper meaning is that all of Yassens life he was on the virge of death and this  was the main time that he was almost killed.,"Choose either the title of the most recent chapter you read, or the title of your text. Explain the deeper meaning of the title.",AUTKlAwDXn8ozGnFqb2BME_lw,6,8
70,at the beginning i thought he was going to school because he kept groaning to her mother instead he was going out to scare villagers so he maybe does not have school or maybe he was absent i do not know maybe he scares villagers before school or maybe that is what zombies have to do on the weekend,"When you were reading the beginning of the book, were you able to guess what was going to happen next? Was your guess close to what really happened?",AUTSW4c5W6pbbPz347Ds2L2Mg,3,9
71,"I don't know i'm not that far  into the book yet. so i chold not find   
that a word.","Find a word in the text that can have different meanings at different times. For example the word 'free' can mean that something costs no money or it can mean that someone can do whatever they want. Type the word you found, and then explain what it means in the text.",BASETxZr1kSOCe7_j7sAz6I2iA,5,2
72,I respect Justice Strauss  for both questions because she is so smart and loving I respect her super much.,What steps could you take personally in your life to be more like the character or person in this book whom you respect the most?,BASEjJ-LDB3vglZ_ak7Q0Kgohg,7,3
73,The picture is about fly guy meeting fly girl in the park with her owner and fly girl and her owner meeting fly guy and buzz,Pick any picture in this book. What does this picture tell you?,BASE1FPkemXdz9FQ1kC6lFf5ig,2,9
74,last picture in the book is cookies because it's a last chapter so the last picture,What is happening in the last picture in the book?,BASEsPqDcJuKG2D5Qt8-_jDUBw,0,8
75,"he can,t talk",Choose any one picture in this book. What does this picture tell you?,AUTJIu8vX6sLZJ7U83O_OUhuw,1,8
76,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,Do you like the author of this book? Why or why not?,BASEF8MCuY81sJod6kr8m2ZSYA,1,0
77,The last picture in this book is when Elmo and Big Bird are going back to their home and they finish playing the alphabet.,What is happening in the last picture in the book?,BASEoDFq6biCdmtQ9ZqJy8knKQ,0,10
78,"Yes, because the character Camilla and the pictures were really funny! I loved how the lima beans saved her.",Will you ever read this book again? Why?,BASEVBprgou4VG4OVMHmfuKYyw,2,9
79,"The part of this text that had me on the edge of my seat was probably the moment when Evan found out that the tropical storm Annabelle turned into a hurricane and was coming towards his town.  This was that part of the text that had me on the edge of my seat because it was intriguing and it startled me.  Also, it had me on the edge of my seat because Jessie was flipping out.",Which part of this text had you on the edge of your seat? Think back to that moment. What did you think was going to happen next?,BASE5AyoBJr1pcxWYKszjYPJhw,5,7
80,I would want to remember how Ruby figured out the birder was the serial killer because if that ever happened in real life I want to be more knowledgeable about it.,What is one part of this book want to remember?,BASEZoT2BQiR52jqkPLnGc7fuQ,0,10
81,When Jackson was a kid he created his imaginary friend that is a cat which is Crenshaw. When I heard this in the story I was smiling because I thought that was so adorable a kid having a imaginary friend. They met after 5th grade ended for Jackson. It revealed that Jackson to me loved animals and in the book he said he wanted to be a animal scientist and having a imaginary cat friend he surely did love animals.,"Share a story about something that happened to one of the characters or people in this text, or something they did. What does this story tell you about the character or person's personality?",BASEVpjB89eyokxJyr34f7ONUA,5,9
82,That she is sill and she says shut up a lot. She is the best game player. they played lots of games.,What do you like about the main character or person in this book?,BASEY4kCdmD0tCI4wFl0zbP2-w,2,9
83,The part when Raina fell and  two of her teeth fell out and her mouth was gushing out blood.,"Imagine 100 years from now, when you are very old, you remember only one idea from this text. What idea is it? Why is this idea so important that you never forgot it?",BASEr8RsRcGJ6Cxp6TcDFqVd2w,4,7
84,turn it can mean change there personalty or turn there body in deterrent way.,"Find a word in the text that can have different meanings at different times. For example the word 'free' can mean that something costs no money or it can mean that someone can do whatever they want. Type the word you found, and then explain what it means in the text.",BASEhmcgzGk_ZFHPWToYoADxdQ,4,8
85,"My favorite part about the book is that ''Soon, water will start to drip down the outside of the glass. It didn't leak out of the glass; it's water that was in the air. When water vapor is cooled, it turns back into water. This is called condensation.",What is your favorite part of this book? Why?,BASEO5DQoF1zFe1CyTYQqhSRYA,2,7
86,Amos will drown and Boris will not be there to save Amos.Also Boris would die and the elephants or Amos would not save them.,How would the story to change if it were told through the main character's biggest enemy or rival?,BASE55fKC6XTmuLSPUTaM6hOjA,3,8
87,No i don't think that the main character should have join a crew of pirates or become a superhero because the main character  was perfectly fine the was he was,Do you think the main character in this book would be more likely to join a crew of pirates or become a superhero? Why?,BASEaNbC01eb2G-z9jDPv8KnIQ,3,8
88,The biggest problem was having all the children getting sick and her not getting to Mr. Neely but getting to someone on Mr. Cliftons side. I would have made him prove that he was Mr.Neely. Also instead of calling the board of health a few times I would have made the news conference earlier so that everyone would have know earlier about the diphtheria. Also if I were Ma I would have sent Jessie out earlier than she did so she would have had extra time.,What was the biggest problem for the main character or person? What would you have done differently?,BASEL6C7dUL4M1pSe-Y1KcQjGQ,6,10
89,I want to tell my parents that this book inspired me to never give up just like how Arrow Hawk never gave up on moving forward.,What do you want to tell your parents about this book?,BASELpd-ZG26DAQeMPCr7oCwhQ,0,10
90,Especially I think that mean something like  really good and if you closed this book down it  Will be closed  Antille   Someone open it  Back,Find a hard word in this book and type it here. What do you think this word means?,AUTb9tgCA9ZRAKMWhiIEVAdIg,1,8
91,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,Describe what the main character or person looks like.,AUTF0Bm-HQTCeSj3vR9otphMQ,1,0
92,about the animals in the world so i will be able to read other books like that so you learn about the animals in the world.,What is one of the lessons in this book? What other book have you read that has a similar lesson?,AUT2FbiIdvvkoX4BwXKap60PQ,3,6
93,"A disagreement that Daisy and Philip made was over who would win the candy contest. The book says,""Because I'm going to win,"" Philip replied.""I always do."" ""Oh, yeah?"" Daisy stuck her hands on her hips."" How do you know I won't win? Or Miles here?"" Daisy seems to be the reasonable person in this situation. She wants to give everyone a chance  and not assume anything. Philip is being unrealistic in thinking that he will win because he has less knowledge about candy and is only participating for the sake of winning. Also, Philip is underestimating his competition and so confident that it is obnoxious. Most people would try to be open-minded before starting anything they haven't tried before, even if it doesn't work out. I agree with Daisy in this argument.","Think about a disagreement that two people or characters had, then explain why each of them believed their side. Instead of deciding who is right; step into each of their shoes and try to understand their point of view. How would you feel?",BASESfRJzxexQLIoqATJrhrKTw,6,10
94,When Cole's dad lied in the circle justice meeting Cole and his dad got into a huge argument because Cole said he lied and his dad told he didn't.,"Think about a disagreement that occurred between two of the characters or people. Explain the situation that got them to this disagreement. Then think about how you would feel if this situation happened to you, and explain why you think they disagreed.",BASEqXE-RvYW6St0exAkzPogSw,7,6
95,Because it is they tell how cell phones work and stuf and you can't get ride of them because they are in every single page,Do you look up to the main character or person in this text? Why or why not?,AUThe6oSSmrxEdRm-efT3vfxA,3,6
96,"I don't like when he snapped the pencil. Because that is not safe. He could hurt anybody 
In there",Which picture did you not like in this book? Why?,AUTUyVQ4jXmlM2NX_iSk43Sjg,2,8
97,From this book I learned that you shouldn't be afraid to let other people see your smile.This book also teaches you to watch out when you are running or even walking.,"Describe something you learned by looking at a table, graph, or picture in this text.",BASEr8RsRcGJ6Cxp6TcDFqVd2w,4,8
98,He cut off marrieds nose off  than an elf cuts a piece of wood. He got to marrieds house and her dad was scarier then he thought. joey was afraid of her dad even more afraid than a tiger,"Find a line in this text that could be rewritten as a metaphor or an expression. First quote the phrase, then write the expression or metaphor that could be used instead.",BASEE6Hrk1Uj-eADH6boJEGYFw,4,5
99,"you can tare,and food on  your  hard  and this is can affect your life . you can band you foot and you can band you hard and you can band you arm.",How do you become a Bucket Filler?,BASEfxYPvh1hzOpeiWc6GaxFbw,3,7
100,By on your parents good side because they all thought that percy stool Zues's lightning bolt. It was about the gods and demie gods and percy was the god of the sea's son.,"Describe one of the main ideas or themes in this text, including how the author discusses this idea. Cite evidence from the text.",AUTFzwtjfSwiOSPTVBMH_Kamw,6,6
101,when a.j. is running away and the mom is chasing a.j. because the mom wants to give a kiss to a.j.,What was your favorite part of this book?,BASE0l5uVPhiV0N6GTkV3MIYKw,0,8
102,A word from the text that have the same mean is the word rose. The word rose can mean flower or I can be a girls name. The word rose in the text was the girls name because her mom liked roses,"Find a word in the text that can have different meanings at different times. For example the word 'free' can mean that something costs no money or it can mean that someone can do whatever they want. Type the word you found, and then explain what it means in the text.",BASEPkgN6zoAa09LjnN_S5NiLg,5,9
103,This book is about Al having it bad but then good and he did not like the good life,What happened at the end of this book?,BASEpyaSTYzYQRisFAww3Jd-ag,-1,7
104,"Yes. I like the author of this book, April Henry, because she really knows how to get the suspense to go even higher. She also knows how to make the reader feel that they are one of the characters, so you get easily connected to them.",Do you like the author of this book? Why or why not?,BASEZoT2BQiR52jqkPLnGc7fuQ,0,10
105,"He would include things like keeping his leg and and making sure he's okay but, most of all is to keep Hazel and things that he loves and needs.","If Augustus were to make a list of things he believes in, what do you think he would include",BASEItJoQ4RJ6qUPJHWCplXhrA,-1,9
106,My favorite character in this book was Gerald. Gerald was very funny. I really liked the way that he was excited and did not want the book to end. Gerald really likes his readers.,Who was your favorite character or person in this book? Why?,BASEcke0R2sNqutuKbdHvOcV8Q,1,10
